,absolute_path,class_mark,numerical_class_mark,width,height,channels
41,D:\Projects\Python\python\Lab4\dataset\tiger\0041.jpg,tiger,0,480,314,3
42,D:\Projects\Python\python\Lab4\dataset\tiger\0042.jpg,tiger,0,450,320,3
43,D:\Projects\Python\python\Lab4\dataset\tiger\0043.jpg,tiger,0,426,320,3
44,D:\Projects\Python\python\Lab4\dataset\tiger\0044.jpg,tiger,0,480,300,3
45,D:\Projects\Python\python\Lab4\dataset\tiger\0045.jpg,tiger,0,480,320,3
46,D:\Projects\Python\python\Lab4\dataset\tiger\0046.jpg,tiger,0,480,320,3
47,D:\Projects\Python\python\Lab4\dataset\tiger\0047.jpg,tiger,0,427,320,3
48,D:\Projects\Python\python\Lab4\dataset\tiger\0048.jpg,tiger,0,214,320,3
49,D:\Projects\Python\python\Lab4\dataset\tiger\0049.jpg,tiger,0,400,320,3
50,D:\Projects\Python\python\Lab4\dataset\tiger\0050.jpg,tiger,0,480,270,3
51,D:\Projects\Python\python\Lab4\dataset\tiger\0051.jpg,tiger,0,256,320,3
52,D:\Projects\Python\python\Lab4\dataset\tiger\0052.jpg,tiger,0,480,320,3
53,D:\Projects\Python\python\Lab4\dataset\tiger\0053.jpg,tiger,0,468,320,3
54,D:\Projects\Python\python\Lab4\dataset\tiger\0054.jpg,tiger,0,480,300,3
55,D:\Projects\Python\python\Lab4\dataset\tiger\0055.jpg,tiger,0,253,320,3
56,D:\Projects\Python\python\Lab4\dataset\tiger\0056.jpg,tiger,0,480,311,3
57,D:\Projects\Python\python\Lab4\dataset\tiger\0057.jpg,tiger,0,480,300,3
58,D:\Projects\Python\python\Lab4\dataset\tiger\0058.jpg,tiger,0,480,320,3
59,D:\Projects\Python\python\Lab4\dataset\tiger\0059.jpg,tiger,0,480,270,3
60,D:\Projects\Python\python\Lab4\dataset\tiger\0060.jpg,tiger,0,320,320,3
61,D:\Projects\Python\python\Lab4\dataset\tiger\0061.jpg,tiger,0,480,320,3
62,D:\Projects\Python\python\Lab4\dataset\tiger\0062.jpg,tiger,0,437,320,3
63,D:\Projects\Python\python\Lab4\dataset\tiger\0063.jpg,tiger,0,480,320,3
64,D:\Projects\Python\python\Lab4\dataset\tiger\0064.jpg,tiger,0,480,313,3
65,D:\Projects\Python\python\Lab4\dataset\tiger\0065.jpg,tiger,0,480,320,3
66,D:\Projects\Python\python\Lab4\dataset\tiger\0066.jpg,tiger,0,480,300,3
67,D:\Projects\Python\python\Lab4\dataset\tiger\0067.jpg,tiger,0,480,300,3
68,D:\Projects\Python\python\Lab4\dataset\tiger\0068.jpg,tiger,0,468,320,3
69,D:\Projects\Python\python\Lab4\dataset\tiger\0069.jpg,tiger,0,480,320,3
70,D:\Projects\Python\python\Lab4\dataset\tiger\0070.jpg,tiger,0,427,320,3
71,D:\Projects\Python\python\Lab4\dataset\tiger\0071.jpg,tiger,0,480,300,3
72,D:\Projects\Python\python\Lab4\dataset\tiger\0072.jpg,tiger,0,480,300,3
73,D:\Projects\Python\python\Lab4\dataset\tiger\0073.jpg,tiger,0,342,320,3
74,D:\Projects\Python\python\Lab4\dataset\tiger\0074.jpg,tiger,0,398,320,3
75,D:\Projects\Python\python\Lab4\dataset\tiger\0075.jpg,tiger,0,480,300,3
76,D:\Projects\Python\python\Lab4\dataset\tiger\0076.jpg,tiger,0,476,320,3
77,D:\Projects\Python\python\Lab4\dataset\tiger\0077.jpg,tiger,0,480,300,3
78,D:\Projects\Python\python\Lab4\dataset\tiger\0078.jpg,tiger,0,480,300,3
79,D:\Projects\Python\python\Lab4\dataset\tiger\0079.jpg,tiger,0,480,319,3
80,D:\Projects\Python\python\Lab4\dataset\tiger\0080.jpg,tiger,0,480,319,3
81,D:\Projects\Python\python\Lab4\dataset\tiger\0081.jpg,tiger,0,479,320,3
82,D:\Projects\Python\python\Lab4\dataset\tiger\0082.jpg,tiger,0,411,320,3
83,D:\Projects\Python\python\Lab4\dataset\tiger\0083.jpg,tiger,0,427,320,3
84,D:\Projects\Python\python\Lab4\dataset\tiger\0084.jpg,tiger,0,427,320,3
85,D:\Projects\Python\python\Lab4\dataset\tiger\0085.jpg,tiger,0,480,320,3
86,D:\Projects\Python\python\Lab4\dataset\tiger\0086.jpg,tiger,0,480,300,3
87,D:\Projects\Python\python\Lab4\dataset\tiger\0087.jpg,tiger,0,480,300,3
88,D:\Projects\Python\python\Lab4\dataset\tiger\0088.jpg,tiger,0,427,320,3
89,D:\Projects\Python\python\Lab4\dataset\tiger\0089.jpg,tiger,0,480,300,3
90,D:\Projects\Python\python\Lab4\dataset\tiger\0090.jpg,tiger,0,480,300,3
91,D:\Projects\Python\python\Lab4\dataset\tiger\0091.jpg,tiger,0,480,320,3
92,D:\Projects\Python\python\Lab4\dataset\tiger\0092.jpg,tiger,0,480,319,3
93,D:\Projects\Python\python\Lab4\dataset\tiger\0093.jpg,tiger,0,456,320,3
94,D:\Projects\Python\python\Lab4\dataset\tiger\0094.jpg,tiger,0,476,320,3
95,D:\Projects\Python\python\Lab4\dataset\tiger\0095.jpg,tiger,0,480,320,3
96,D:\Projects\Python\python\Lab4\dataset\tiger\0096.jpg,tiger,0,404,320,3
97,D:\Projects\Python\python\Lab4\dataset\tiger\0097.jpg,tiger,0,480,300,3
98,D:\Projects\Python\python\Lab4\dataset\tiger\0098.jpg,tiger,0,480,300,3
99,D:\Projects\Python\python\Lab4\dataset\tiger\0099.jpg,tiger,0,480,319,3
100,D:\Projects\Python\python\Lab4\dataset\tiger\0100.jpg,tiger,0,480,271,3
101,D:\Projects\Python\python\Lab4\dataset\tiger\0101.jpg,tiger,0,480,300,3
102,D:\Projects\Python\python\Lab4\dataset\tiger\0102.jpg,tiger,0,480,319,3
103,D:\Projects\Python\python\Lab4\dataset\tiger\0103.jpg,tiger,0,427,320,3
104,D:\Projects\Python\python\Lab4\dataset\tiger\0104.jpg,tiger,0,480,320,3
105,D:\Projects\Python\python\Lab4\dataset\tiger\0105.jpg,tiger,0,237,320,3
106,D:\Projects\Python\python\Lab4\dataset\tiger\0106.jpg,tiger,0,480,270,3
107,D:\Projects\Python\python\Lab4\dataset\tiger\0107.jpg,tiger,0,480,320,3
108,D:\Projects\Python\python\Lab4\dataset\tiger\0108.jpg,tiger,0,480,300,3
109,D:\Projects\Python\python\Lab4\dataset\tiger\0109.jpg,tiger,0,480,312,3
110,D:\Projects\Python\python\Lab4\dataset\tiger\0110.jpg,tiger,0,480,300,3
111,D:\Projects\Python\python\Lab4\dataset\tiger\0111.jpg,tiger,0,480,320,3
112,D:\Projects\Python\python\Lab4\dataset\tiger\0112.jpg,tiger,0,466,320,3
113,D:\Projects\Python\python\Lab4\dataset\tiger\0113.jpg,tiger,0,480,300,3
114,D:\Projects\Python\python\Lab4\dataset\tiger\0114.jpg,tiger,0,480,320,3
115,D:\Projects\Python\python\Lab4\dataset\tiger\0115.jpg,tiger,0,480,270,3
116,D:\Projects\Python\python\Lab4\dataset\tiger\0116.jpg,tiger,0,427,320,3
117,D:\Projects\Python\python\Lab4\dataset\tiger\0117.jpg,tiger,0,480,320,3
118,D:\Projects\Python\python\Lab4\dataset\tiger\0118.jpg,tiger,0,480,300,3
119,D:\Projects\Python\python\Lab4\dataset\tiger\0119.jpg,tiger,0,480,300,3
120,D:\Projects\Python\python\Lab4\dataset\tiger\0120.jpg,tiger,0,480,300,3
121,D:\Projects\Python\python\Lab4\dataset\tiger\0121.jpg,tiger,0,480,300,3
122,D:\Projects\Python\python\Lab4\dataset\tiger\0122.jpg,tiger,0,472,320,3
123,D:\Projects\Python\python\Lab4\dataset\tiger\0123.jpg,tiger,0,471,320,3
124,D:\Projects\Python\python\Lab4\dataset\tiger\0124.jpg,tiger,0,480,320,3
125,D:\Projects\Python\python\Lab4\dataset\tiger\0125.jpg,tiger,0,480,320,3
126,D:\Projects\Python\python\Lab4\dataset\tiger\0126.jpg,tiger,0,431,320,3
127,D:\Projects\Python\python\Lab4\dataset\tiger\0127.jpg,tiger,0,480,300,3
128,D:\Projects\Python\python\Lab4\dataset\tiger\0128.jpg,tiger,0,436,320,3
129,D:\Projects\Python\python\Lab4\dataset\tiger\0129.jpg,tiger,0,480,300,3
130,D:\Projects\Python\python\Lab4\dataset\tiger\0130.jpg,tiger,0,480,300,3
131,D:\Projects\Python\python\Lab4\dataset\tiger\0131.jpg,tiger,0,427,320,3
132,D:\Projects\Python\python\Lab4\dataset\tiger\0132.jpg,tiger,0,480,270,3
133,D:\Projects\Python\python\Lab4\dataset\tiger\0133.jpg,tiger,0,480,300,3
134,D:\Projects\Python\python\Lab4\dataset\tiger\0134.jpg,tiger,0,399,320,3
135,D:\Projects\Python\python\Lab4\dataset\tiger\0135.jpg,tiger,0,480,300,3
136,D:\Projects\Python\python\Lab4\dataset\tiger\0136.jpg,tiger,0,480,320,3
137,D:\Projects\Python\python\Lab4\dataset\tiger\0137.jpg,tiger,0,479,320,3
138,D:\Projects\Python\python\Lab4\dataset\tiger\0138.jpg,tiger,0,427,320,3
139,D:\Projects\Python\python\Lab4\dataset\tiger\0139.jpg,tiger,0,480,320,3
140,D:\Projects\Python\python\Lab4\dataset\tiger\0140.jpg,tiger,0,480,300,3
141,D:\Projects\Python\python\Lab4\dataset\tiger\0141.jpg,tiger,0,480,320,3
142,D:\Projects\Python\python\Lab4\dataset\tiger\0142.jpg,tiger,0,480,300,3
143,D:\Projects\Python\python\Lab4\dataset\tiger\0143.jpg,tiger,0,439,320,3
144,D:\Projects\Python\python\Lab4\dataset\tiger\0144.jpg,tiger,0,480,320,3
145,D:\Projects\Python\python\Lab4\dataset\tiger\0145.jpg,tiger,0,480,300,3
146,D:\Projects\Python\python\Lab4\dataset\tiger\0146.jpg,tiger,0,473,320,3
147,D:\Projects\Python\python\Lab4\dataset\tiger\0147.jpg,tiger,0,480,320,3
148,D:\Projects\Python\python\Lab4\dataset\tiger\0148.jpg,tiger,0,480,300,3
149,D:\Projects\Python\python\Lab4\dataset\tiger\0149.jpg,tiger,0,480,270,3
150,D:\Projects\Python\python\Lab4\dataset\tiger\0150.jpg,tiger,0,480,270,3
151,D:\Projects\Python\python\Lab4\dataset\tiger\0151.jpg,tiger,0,478,320,3
152,D:\Projects\Python\python\Lab4\dataset\tiger\0152.jpg,tiger,0,480,310,3
153,D:\Projects\Python\python\Lab4\dataset\tiger\0153.jpg,tiger,0,480,320,3
154,D:\Projects\Python\python\Lab4\dataset\tiger\0154.jpg,tiger,0,480,270,3
155,D:\Projects\Python\python\Lab4\dataset\tiger\0155.jpg,tiger,0,480,320,3
156,D:\Projects\Python\python\Lab4\dataset\tiger\0156.jpg,tiger,0,320,320,3
157,D:\Projects\Python\python\Lab4\dataset\tiger\0157.jpg,tiger,0,480,300,3
158,D:\Projects\Python\python\Lab4\dataset\tiger\0158.jpg,tiger,0,479,320,3
159,D:\Projects\Python\python\Lab4\dataset\tiger\0159.jpg,tiger,0,480,270,3
160,D:\Projects\Python\python\Lab4\dataset\tiger\0160.jpg,tiger,0,480,270,3
161,D:\Projects\Python\python\Lab4\dataset\tiger\0161.jpg,tiger,0,480,270,3
162,D:\Projects\Python\python\Lab4\dataset\tiger\0162.jpg,tiger,0,473,320,3
163,D:\Projects\Python\python\Lab4\dataset\tiger\0163.jpg,tiger,0,377,320,3
164,D:\Projects\Python\python\Lab4\dataset\tiger\0164.jpg,tiger,0,480,318,3
165,D:\Projects\Python\python\Lab4\dataset\tiger\0165.jpg,tiger,0,480,320,3
166,D:\Projects\Python\python\Lab4\dataset\tiger\0166.jpg,tiger,0,480,320,3
167,D:\Projects\Python\python\Lab4\dataset\tiger\0167.jpg,tiger,0,480,313,3
168,D:\Projects\Python\python\Lab4\dataset\tiger\0168.jpg,tiger,0,480,306,3
169,D:\Projects\Python\python\Lab4\dataset\tiger\0169.jpg,tiger,0,402,320,3
170,D:\Projects\Python\python\Lab4\dataset\tiger\0170.jpg,tiger,0,479,320,3
171,D:\Projects\Python\python\Lab4\dataset\tiger\0171.jpg,tiger,0,240,320,3
172,D:\Projects\Python\python\Lab4\dataset\tiger\0172.jpg,tiger,0,480,270,3
173,D:\Projects\Python\python\Lab4\dataset\tiger\0173.jpg,tiger,0,480,270,3
174,D:\Projects\Python\python\Lab4\dataset\tiger\0174.jpg,tiger,0,427,320,3
175,D:\Projects\Python\python\Lab4\dataset\tiger\0175.jpg,tiger,0,480,300,3
176,D:\Projects\Python\python\Lab4\dataset\tiger\0176.jpg,tiger,0,473,320,3
177,D:\Projects\Python\python\Lab4\dataset\tiger\0177.jpg,tiger,0,277,320,3
178,D:\Projects\Python\python\Lab4\dataset\tiger\0178.jpg,tiger,0,480,270,3
179,D:\Projects\Python\python\Lab4\dataset\tiger\0179.jpg,tiger,0,480,318,3
180,D:\Projects\Python\python\Lab4\dataset\tiger\0180.jpg,tiger,0,431,320,3
181,D:\Projects\Python\python\Lab4\dataset\tiger\0181.jpg,tiger,0,480,270,3
182,D:\Projects\Python\python\Lab4\dataset\tiger\0182.jpg,tiger,0,480,320,3
183,D:\Projects\Python\python\Lab4\dataset\tiger\0183.jpg,tiger,0,480,300,3
184,D:\Projects\Python\python\Lab4\dataset\tiger\0184.jpg,tiger,0,480,270,3
185,D:\Projects\Python\python\Lab4\dataset\tiger\0185.jpg,tiger,0,427,320,3
186,D:\Projects\Python\python\Lab4\dataset\tiger\0186.jpg,tiger,0,427,320,3
187,D:\Projects\Python\python\Lab4\dataset\tiger\0187.jpg,tiger,0,480,270,3
188,D:\Projects\Python\python\Lab4\dataset\tiger\0188.jpg,tiger,0,480,320,3
189,D:\Projects\Python\python\Lab4\dataset\tiger\0189.jpg,tiger,0,480,300,3
190,D:\Projects\Python\python\Lab4\dataset\tiger\0190.jpg,tiger,0,480,320,3
191,D:\Projects\Python\python\Lab4\dataset\tiger\0191.jpg,tiger,0,480,300,3
192,D:\Projects\Python\python\Lab4\dataset\tiger\0192.jpg,tiger,0,442,320,3
193,D:\Projects\Python\python\Lab4\dataset\tiger\0193.jpg,tiger,0,480,320,3
194,D:\Projects\Python\python\Lab4\dataset\tiger\0194.jpg,tiger,0,480,270,3
195,D:\Projects\Python\python\Lab4\dataset\tiger\0195.jpg,tiger,0,480,320,3
196,D:\Projects\Python\python\Lab4\dataset\tiger\0196.jpg,tiger,0,480,308,3
197,D:\Projects\Python\python\Lab4\dataset\tiger\0197.jpg,tiger,0,480,270,3
198,D:\Projects\Python\python\Lab4\dataset\tiger\0198.jpg,tiger,0,480,320,3
199,D:\Projects\Python\python\Lab4\dataset\tiger\0199.jpg,tiger,0,480,300,3
200,D:\Projects\Python\python\Lab4\dataset\tiger\0200.jpg,tiger,0,480,270,3
201,D:\Projects\Python\python\Lab4\dataset\tiger\0201.jpg,tiger,0,480,320,3
202,D:\Projects\Python\python\Lab4\dataset\tiger\0202.jpg,tiger,0,427,320,3
203,D:\Projects\Python\python\Lab4\dataset\tiger\0203.jpg,tiger,0,480,320,3
204,D:\Projects\Python\python\Lab4\dataset\tiger\0204.jpg,tiger,0,427,320,3
205,D:\Projects\Python\python\Lab4\dataset\tiger\0205.jpg,tiger,0,480,300,3
206,D:\Projects\Python\python\Lab4\dataset\tiger\0206.jpg,tiger,0,480,319,3
207,D:\Projects\Python\python\Lab4\dataset\tiger\0207.jpg,tiger,0,480,320,3
208,D:\Projects\Python\python\Lab4\dataset\tiger\0208.jpg,tiger,0,480,319,3
209,D:\Projects\Python\python\Lab4\dataset\tiger\0209.jpg,tiger,0,480,270,3
210,D:\Projects\Python\python\Lab4\dataset\tiger\0210.jpg,tiger,0,480,270,3
211,D:\Projects\Python\python\Lab4\dataset\tiger\0211.jpg,tiger,0,480,320,3
212,D:\Projects\Python\python\Lab4\dataset\tiger\0212.jpg,tiger,0,480,320,3
213,D:\Projects\Python\python\Lab4\dataset\tiger\0213.jpg,tiger,0,480,270,3
214,D:\Projects\Python\python\Lab4\dataset\tiger\0214.jpg,tiger,0,480,301,3
215,D:\Projects\Python\python\Lab4\dataset\tiger\0215.jpg,tiger,0,480,300,3
216,D:\Projects\Python\python\Lab4\dataset\tiger\0216.jpg,tiger,0,480,300,3
217,D:\Projects\Python\python\Lab4\dataset\tiger\0217.jpg,tiger,0,480,282,3
218,D:\Projects\Python\python\Lab4\dataset\tiger\0218.jpg,tiger,0,480,320,3
219,D:\Projects\Python\python\Lab4\dataset\tiger\0219.jpg,tiger,0,480,320,3
220,D:\Projects\Python\python\Lab4\dataset\tiger\0220.jpg,tiger,0,427,320,3
221,D:\Projects\Python\python\Lab4\dataset\tiger\0221.jpg,tiger,0,480,320,3
222,D:\Projects\Python\python\Lab4\dataset\tiger\0222.jpg,tiger,0,480,308,3
223,D:\Projects\Python\python\Lab4\dataset\tiger\0223.jpg,tiger,0,457,320,3
224,D:\Projects\Python\python\Lab4\dataset\tiger\0224.jpg,tiger,0,480,270,3
225,D:\Projects\Python\python\Lab4\dataset\tiger\0225.jpg,tiger,0,427,320,3
226,D:\Projects\Python\python\Lab4\dataset\tiger\0226.jpg,tiger,0,448,320,3
227,D:\Projects\Python\python\Lab4\dataset\tiger\0227.jpg,tiger,0,480,320,3
228,D:\Projects\Python\python\Lab4\dataset\tiger\0228.jpg,tiger,0,480,300,3
229,D:\Projects\Python\python\Lab4\dataset\tiger\0229.jpg,tiger,0,427,320,3
230,D:\Projects\Python\python\Lab4\dataset\tiger\0230.jpg,tiger,0,480,300,3
231,D:\Projects\Python\python\Lab4\dataset\tiger\0231.jpg,tiger,0,480,320,3
232,D:\Projects\Python\python\Lab4\dataset\tiger\0232.jpg,tiger,0,480,320,3
233,D:\Projects\Python\python\Lab4\dataset\tiger\0233.jpg,tiger,0,480,300,3
234,D:\Projects\Python\python\Lab4\dataset\tiger\0234.jpg,tiger,0,480,318,3
235,D:\Projects\Python\python\Lab4\dataset\tiger\0235.jpg,tiger,0,480,270,3
236,D:\Projects\Python\python\Lab4\dataset\tiger\0236.jpg,tiger,0,443,320,3
237,D:\Projects\Python\python\Lab4\dataset\tiger\0237.jpg,tiger,0,480,300,3
238,D:\Projects\Python\python\Lab4\dataset\tiger\0238.jpg,tiger,0,480,300,3
239,D:\Projects\Python\python\Lab4\dataset\tiger\0239.jpg,tiger,0,480,300,3
240,D:\Projects\Python\python\Lab4\dataset\tiger\0240.jpg,tiger,0,332,320,3
241,D:\Projects\Python\python\Lab4\dataset\tiger\0241.jpg,tiger,0,480,320,3
242,D:\Projects\Python\python\Lab4\dataset\tiger\0242.jpg,tiger,0,480,316,3
243,D:\Projects\Python\python\Lab4\dataset\tiger\0243.jpg,tiger,0,480,319,3
244,D:\Projects\Python\python\Lab4\dataset\tiger\0244.jpg,tiger,0,480,320,3
245,D:\Projects\Python\python\Lab4\dataset\tiger\0245.jpg,tiger,0,480,320,3
246,D:\Projects\Python\python\Lab4\dataset\tiger\0246.jpg,tiger,0,480,270,3
247,D:\Projects\Python\python\Lab4\dataset\tiger\0247.jpg,tiger,0,480,320,3
248,D:\Projects\Python\python\Lab4\dataset\tiger\0248.jpg,tiger,0,256,320,3
249,D:\Projects\Python\python\Lab4\dataset\tiger\0249.jpg,tiger,0,286,320,3
250,D:\Projects\Python\python\Lab4\dataset\tiger\0250.jpg,tiger,0,480,319,3
251,D:\Projects\Python\python\Lab4\dataset\tiger\0251.jpg,tiger,0,480,320,3
252,D:\Projects\Python\python\Lab4\dataset\tiger\0252.jpg,tiger,0,480,320,3
253,D:\Projects\Python\python\Lab4\dataset\tiger\0253.jpg,tiger,0,480,320,3
254,D:\Projects\Python\python\Lab4\dataset\tiger\0254.jpg,tiger,0,480,320,3
255,D:\Projects\Python\python\Lab4\dataset\tiger\0255.jpg,tiger,0,478,320,3
256,D:\Projects\Python\python\Lab4\dataset\tiger\0256.jpg,tiger,0,480,300,3
257,D:\Projects\Python\python\Lab4\dataset\tiger\0257.jpg,tiger,0,480,300,3
258,D:\Projects\Python\python\Lab4\dataset\tiger\0258.jpg,tiger,0,480,320,3
259,D:\Projects\Python\python\Lab4\dataset\tiger\0259.jpg,tiger,0,480,300,3
260,D:\Projects\Python\python\Lab4\dataset\tiger\0260.jpg,tiger,0,480,300,3
261,D:\Projects\Python\python\Lab4\dataset\tiger\0261.jpg,tiger,0,480,270,3
262,D:\Projects\Python\python\Lab4\dataset\tiger\0262.jpg,tiger,0,447,320,3
263,D:\Projects\Python\python\Lab4\dataset\tiger\0263.jpg,tiger,0,427,320,3
264,D:\Projects\Python\python\Lab4\dataset\tiger\0264.jpg,tiger,0,480,270,3
265,D:\Projects\Python\python\Lab4\dataset\tiger\0265.jpg,tiger,0,480,320,3
266,D:\Projects\Python\python\Lab4\dataset\tiger\0266.jpg,tiger,0,480,300,3
267,D:\Projects\Python\python\Lab4\dataset\tiger\0267.jpg,tiger,0,480,300,3
268,D:\Projects\Python\python\Lab4\dataset\tiger\0268.jpg,tiger,0,415,320,3
269,D:\Projects\Python\python\Lab4\dataset\tiger\0269.jpg,tiger,0,320,320,3
270,D:\Projects\Python\python\Lab4\dataset\tiger\0270.jpg,tiger,0,444,320,3
271,D:\Projects\Python\python\Lab4\dataset\tiger\0271.jpg,tiger,0,480,270,3
272,D:\Projects\Python\python\Lab4\dataset\tiger\0272.jpg,tiger,0,480,270,3
273,D:\Projects\Python\python\Lab4\dataset\tiger\0273.jpg,tiger,0,480,320,3
274,D:\Projects\Python\python\Lab4\dataset\tiger\0274.jpg,tiger,0,405,320,3
275,D:\Projects\Python\python\Lab4\dataset\tiger\0275.jpg,tiger,0,480,300,3
276,D:\Projects\Python\python\Lab4\dataset\tiger\0276.jpg,tiger,0,427,320,3
277,D:\Projects\Python\python\Lab4\dataset\tiger\0277.jpg,tiger,0,480,270,3
278,D:\Projects\Python\python\Lab4\dataset\tiger\0278.jpg,tiger,0,480,320,3
279,D:\Projects\Python\python\Lab4\dataset\tiger\0279.jpg,tiger,0,480,300,3
280,D:\Projects\Python\python\Lab4\dataset\tiger\0280.jpg,tiger,0,480,300,3
281,D:\Projects\Python\python\Lab4\dataset\tiger\0281.jpg,tiger,0,480,300,3
282,D:\Projects\Python\python\Lab4\dataset\tiger\0282.jpg,tiger,0,213,320,3
283,D:\Projects\Python\python\Lab4\dataset\tiger\0283.jpg,tiger,0,427,320,3
284,D:\Projects\Python\python\Lab4\dataset\tiger\0284.jpg,tiger,0,480,270,3
285,D:\Projects\Python\python\Lab4\dataset\tiger\0285.jpg,tiger,0,480,300,3
286,D:\Projects\Python\python\Lab4\dataset\tiger\0286.jpg,tiger,0,480,320,3
287,D:\Projects\Python\python\Lab4\dataset\tiger\0287.jpg,tiger,0,480,270,3
288,D:\Projects\Python\python\Lab4\dataset\tiger\0288.jpg,tiger,0,480,320,3
289,D:\Projects\Python\python\Lab4\dataset\tiger\0289.jpg,tiger,0,427,320,3
290,D:\Projects\Python\python\Lab4\dataset\tiger\0290.jpg,tiger,0,413,320,3
291,D:\Projects\Python\python\Lab4\dataset\tiger\0291.jpg,tiger,0,480,300,3
292,D:\Projects\Python\python\Lab4\dataset\tiger\0292.jpg,tiger,0,480,320,3
293,D:\Projects\Python\python\Lab4\dataset\tiger\0293.jpg,tiger,0,480,287,3
294,D:\Projects\Python\python\Lab4\dataset\tiger\0294.jpg,tiger,0,480,270,3
295,D:\Projects\Python\python\Lab4\dataset\tiger\0295.jpg,tiger,0,480,309,3
296,D:\Projects\Python\python\Lab4\dataset\tiger\0296.jpg,tiger,0,480,270,3
297,D:\Projects\Python\python\Lab4\dataset\tiger\0297.jpg,tiger,0,480,270,3
298,D:\Projects\Python\python\Lab4\dataset\tiger\0298.jpg,tiger,0,480,320,3
299,D:\Projects\Python\python\Lab4\dataset\tiger\0299.jpg,tiger,0,480,319,3
300,D:\Projects\Python\python\Lab4\dataset\tiger\0300.jpg,tiger,0,480,270,3
301,D:\Projects\Python\python\Lab4\dataset\tiger\0301.jpg,tiger,0,480,309,3
302,D:\Projects\Python\python\Lab4\dataset\tiger\0302.jpg,tiger,0,480,270,3
